Food,Measure,Grams,Calories,Protein,Fat,Sat. Fat,Fiber,Carbs,Category
Almonds,0.5 cups,70,425,13,38,28,1.8,13,Seeds and Nuts
Apple betty,1 cup,100,150,1,4,0,0.5,29,"Desserts, sweets"
Apple juice canned,1 cup,250,125,0.01,0,0,0,34,Fruits
Apple vinegar,0.33 cups,100,14,0.01,0,0,0,3,Fruits
Apples,0.75 cups,130,70,0.01,0.01,0,1,18,Fruits
Apricots,1 cup,250,220,2,0.01,0,1,57,Fruits
Artichoke,1.5 cups,100,16285,2,0.01,0.01,2,10,Vegetables
Asparagus,2 cups,96,18,1,0.01,0.01,0.5,3,Vegetables
Avocado,0.75 cups,108,185,2,18,12,1.8,6,Fruits
Bacon,2 units,16,95,4,8,7,0,1,"Meat, Poultry"
Banana,0.75 cups,150,85,1,0.01,0,0.9,23,Fruits
Bean soups,1 cup,250,190,8,5,4,0.6,30,Soups
Bean sprouts,1 cup,50,17,1,0.01,0,0.3,3,Vegetables
Beans,1 cup,125,25,1,0.01,0.01,0.8,6,Vegetables
Beef,0.375 cups,85,245,23,16,15,0,0,"Meat, Poultry"
Beef soup,1 cup,250,100,6,4,4,0.5,11,Soups
Beer,2 cups,480,228,0.01,0,0,0,8,"Drinks, Alcohol, Beverages"
Beet greens,1 cup,100,27,2,0.01,0,1.4,6,Vegetables
Beetroots,1 cup,165,1,12,0,,0.01,0.8,Vegetables
Biscuits,1 unit,38,130,3,4,3,0.01,18,"Breads, cereals, fastfood, grains"
Blackberries,1 cup,144,85,2,1,0,6.6,19,Fruits
Blueberries,1 cup,250,245,1,0.01,0,2,65,Fruits
Bouillon,1 cup,240,24,5,0,0,0,0,Soups
Bran flakes,1 cup,25,117,3,0.01,0,0.1,32,"Breads, cereals, fastfood, grains"
Brazil nuts,0.5 cups,70,457,10,47,31,2,7,Seeds and Nuts
Bread pudding,0.75 cups,200,374,11,12,11,0.2,56,"Desserts, sweets"
"Bread, cracked wheat",1 unit,23,60,2,1,1,0.1,12,"Breads, cereals, fastfood, grains"
Broccoli,1 cup,150,45,5,0.01,0,1.9,8,Vegetables
Brussels sprouts,1 cup,130,60,6,0.01,0,1.7,12,Vegetables
Butter,0.5 cups,112,113,114,115,116,117,118,"Fats, Oils, Shortenings"
Buttermilk,1 cup,246,127,9,5,4,0,13,Dairy products
Cakes,1 unit,40,110,3,0.01,0,0,23,"Desserts, sweets"
Candy,5 units,25,104,0.01,3,3,0,19,"Desserts, sweets"
Cane Syrup,0.0625 cups,20,50,0,0,0,0,13,"Jams, Jellies"
Cantaloupe,0.375 cups,380,40,1,0.01,0,2.2,9,Fruits
Carbonated drinks Artificially sweetened,1.5 cups,346,0,0,0,0,0,0,"Drinks, Alcohol, Beverages"
Carrots,1 cup,150,45,1,0.01,0,0.9,10,Vegetables
Cashews,0.5 cups,70,392,12,32,28,0.9,20,Seeds and Nuts
Cauliflower,1 cup,120,30,3,0.01,0,1,6,Vegetables
Celery,1 cup,100,20,1,0.01,0,1,4,Vegetables
Chard steamed,1 cup,150,30,2,0.01,0,1.4,7,Vegetables
Cheddar cheese,0.1 cups,17,70,4,6,5,0,0.01,Dairy products
Cheese,1 cup,225,240,30,11,10,0,6,Dairy products
Cherries,1 cup,257,100,2,1,0,2,26,Fruits
Cherry Pie,1 unit,135,340,3,13,11,0.1,55,"Desserts, sweets"
chicken,0.375 cups,85,185,23,9,7,0,0,"Meat, Poultry"
chicken soup,1 cup,250,75,4,2,2,0,10,Soups
Chocolate creams,2 units,30,130,0.01,4,4,0,24,"Desserts, sweets"
Chocolate fudge,1 unit,120,420,5,14,12,0.3,70,"Desserts, sweets"
Chocolate syrup,0.125 cups,40,80,0.01,0.01,0.01,0,22,"Desserts, sweets"
Clam chowder,1 cup,255,85,5,2,8,0.5,12,Soups
Clams,0.375 cups,85,87,12,1,0,0,2,"Fish, Seafood"
Club soda,1.5 cups,346,0,0,0,0,0,0,"Drinks, Alcohol, Beverages"
Cocoa,1 cup,252,235,8,11,10,0,26,Dairy products
coconut sweetened,0.5 cups,50,274,1,20,19,2,26,Seeds and Nuts
Cod,0.4375 cups,100,170,28,5,0,0,0,"Fish, Seafood"
Coffee,1 cup,230,3,0.01,0,0,0,1,"Drinks, Alcohol, Beverages"
Cola drinks,1.5 cups,346,137,0,0,0,0,38,"Drinks, Alcohol, Beverages"
Collards,1 cup,150,51,5,0.01,0,2,8,Vegetables
Corn,1 cup,100,92,3,1,0.01,0.8,21,Vegetables
Corn bread ground meal,1 cup,50,100,3,4,2,0.3,15,"Breads, cereals, fastfood, grains"
Corn grits cooked,1 cup,242,120,8,0.01,0,0.2,27,"Breads, cereals, fastfood, grains"
Corn meal,1 cup,118,360,9,4,2,1.6,74,"Breads, cereals, fastfood, grains"
Corn oil,0.0625 cups,14,125,0,14,5,0,0,"Fats, Oils, Shortenings"
Corned beef,0.375 cups,85,185,22,10,9,0,0,"Meat, Poultry"
Corned beef hash canned,0.375 cups,85,120,12,8,7,0.01,6,"Meat, Poultry"
Corned beef hash Dried,0.25 cups,56,115,19,4,4,0,0,"Meat, Poultry"
Corned beef hash Stew,1 cup,235,185,15,10,9,0.01,15,"Meat, Poultry"
Cornflakes,1 cup,25,110,2,0.01,0,0.1,25,"Breads, cereals, fastfood, grains"
cornstarch,1 cup,248,275,9,10,9,0,40,Dairy products
Cow milk,4 cups,976,660,32,40,36,0,48,Dairy products
Crab meat,0.375 cups,85,90,14,2,0,0,1,"Fish, Seafood"
Crackers,1.5 cups,14,55,1,1,0,0.01,10,"Breads, cereals, fastfood, grains"
Cranberry sauce sweetened,1 cup,277,530,0.01,0.01,0,1.2,142,Fruits
Cream cheese,0.125 cups,28,105,2,11,10,0,1,Dairy products
Cream soups,1 cup,255,200,7,12,11,1.2,18,Soups
Cucumbers,8 units,50,6,0.01,0,0,0.2,1,Vegetables
Cupcake,1 unit,50,160,3,3,2,0.01,31,"Desserts, sweets"
Custard,1 unit,130,265,7,11,10,0,34,"Desserts, sweets"
Dandelion greens,1 cup,180,80,5,1,0,3.2,16,Vegetables
Dates,1 cup,178,505,4,0.01,0,3.6,134,Fruits
Doughnuts,1 unit,33,135,2,7,4,0.01,17,"Desserts, sweets"
"Duck, domestic",0.4375 cups,100,370,16,28,0,0,0,"Meat, Poultry"
Eggplant,1 cup,180,30,2,0.01,0,1,9,Vegetables
Eggs raw,2 units,100,150,12,12,10,0,0.01,Dairy products
Eggs Scrambled or fried,2 units,128,220,13,16,14,0,1,Dairy products
Endive,0.25 cups,57,10,1,0.01,0,0.6,2,Vegetables
Farina,1 cup,238,105,3,0.01,0,8,22,"Breads, cereals, fastfood, grains"
Figs,2 units,42,120,2,0.01,0,1.9,30,Fruits
Fish sticks fried,5 units,112,200,19,10,5,0,8,"Fish, Seafood"
Flounder,0.4375 cups,100,200,30,8,0,0,0,"Fish, Seafood"
Flour,1 cup,110,460,39,22,0,2.9,33,"Breads, cereals, fastfood, grains"
Fortified milk,6 cups,1419,1373,89,42,23,1.4,119,Dairy products
French dressing,0.0625 cups,15,60,0.01,6,2,0,2,"Fats, Oils, Shortenings"
French-fried,10 units,60,155,0,7,3,0.4,20,Vegetables
"Fresh, steamed peas",1 cup,100,70,5,0.01,0,2.2,12,Vegetables
Fruit cake,1 unit,30,105,2,4,3,0.2,17,"Desserts, sweets"
Fruit-flavored soda,1.5 cups,346,161,0,0,0,0,42,"Drinks, Alcohol, Beverages"
Fudge,2 units,90,370,0.01,12,11,0.1,80,"Desserts, sweets"
"Gelatin, made with water",1 cup,239,155,4,0.01,0.01,0,36,"Desserts, sweets"
Gin,0.125 cups,28,70,0,0,0,0,0.01,"Drinks, Alcohol, Beverages"
Ginger ale,1.5 cups,346,105,0,0,0,0,28,"Drinks, Alcohol, Beverages"
Gingerbread,1 unit,55,180,2,7,6,0.01,28,"Desserts, sweets"
Goat milk,1 cup,244,165,8,10,8,0,11,Dairy products
Grapefruit ,1 cup,250,170,1,0.01,0,0.5,44,Fruits
Grapes,1 cup,153,70,1,0.01,0,0.8,16,Fruits
Ground lean,0.375 cups,85,185,24,10,9,0,0,"Meat, Poultry"
Haddock,0.375 cups,85,135,16,5,4,0,6,"Fish, Seafood"
Halibut,0.4375 cups,100,182,26,8,0,0,0,"Fish, Seafood"
Ham pan-broiled,0.375 cups,85,290,16,22,19,0,0,"Meat, Poultry"
"Ham, canned, spiced",0.25 cups,57,165,8,14,12,0,1,"Meat, Poultry"
Hamburger,0.375 cups,85,245,21,17,15,0,0,"Meat, Poultry"
Hard candies,0.125 cups,28,90,0.01,0,0,0,28,"Desserts, sweets"
heated peas,1 cup,100,53,3,0.01,0,1,10,Vegetables
Herring,0.5 cup,100,211,22,13,0,0,0,"Fish, Seafood"
Honey,0.125 cups,42,120,0.01,0,0,0,30,"Jams, Jellies"
Hydrogenated cooking fat,0.5 cups,100,665,0,100,88,0,0,"Fats, Oils, Shortenings"
Ice cream,1 cup,188,300,6,18,16,0,29,Dairy products
Ice milk,1 cup,190,275,9,10,9,0,32,Dairy products
Iceberg,0.5 cups,100,13,0.01,0.01,0,0.5,3,Vegetables
Jellies,0.0625 cups,20,50,0,0,0,0,13,"Jams, Jellies"
Kale,1 cup,110,45,4,1,0,0.9,8,Vegetables
Kohlrabi,1 cup,140,40,2,0.01,0,1.5,9,Vegetables
"Lamb, chop, broiled",0.5 cups,115,480,24,35,33,0,0,"Meat, Poultry"
"Lambs quarters, steamed",1 cup,150,48,5,0.01,0,3.2,7,Vegetables
Lard,0.5 cups,110,992,0,110,92,0,0,"Fats, Oils, Shortenings"
Leg roasted,0.375 cups,86,314,20,14,14,0,0,"Meat, Poultry"
Lemon meringue,1 unit,120,300,4,12,10,0.1,45,"Desserts, sweets"
Lemonade,0.75 cups,220,430,0.01,0.01,0,0.01,112,Fruits
Lentils,1 cup,200,212,15,0.01,0,2.4,38,Vegetables
Lettuce,0.5 cups,100,14,1,0.01,0,0.5,2,Vegetables
Lima,1 cup,160,140,8,0.01,0.01,3,24,Vegetables
"Lima, dry, cooked",1 cup,192,260,16,0.01,0.01,2,48,Vegetables
Lobster,1 cup,100,92,18,1,0,0,0.01,"Fish, Seafood"
Macaroni,1 cup,140,155,5,1,0,0.1,32,"Breads, cereals, fastfood, grains"
Mackerel,0.375 cups,85,155,18,9,0,0,0,"Fish, Seafood"
Margarine,0.5 cups,112,806,0.01,91,76,0,0.01,"Fats, Oils, Shortenings"
Marshmallows,5 units,30,98,1,0,0,0,23,"Desserts, sweets"
Mayonnaise,0.0625 cups,15,110,0.01,12,5,0,0.01,"Fats, Oils, Shortenings"
Milk chocolate,0.25 cups,56,290,2,6,6,0.2,44,"Desserts, sweets"
Milk skim,4 cups,984,360,36,0.01,0.01,0,52,Dairy products
Mince,1 unit,135,340,3,9,8,0.7,62,"Desserts, sweets"
Molasses,0.0625 cups,20,45,0,0,0,8,11,"Jams, Jellies"
Muffins,1 unit,48,135,4,5,4,0.01,19,"Breads, cereals, fastfood, grains"
Mushrooms canned,4 units,120,12,2,0.01,0,0.01,4,Vegetables
Mustard greens,1 unit,140,30,3,0.01,0,1.2,6,Vegetables
Noodle,1 cup,250,115,6,4,3,0.2,13,Soups
Noodles,1 cup,160,200,7,2,2,0.1,37,"Breads, cereals, fastfood, grains"
Oatmeal,1 cup,236,150,5,3,2,4.6,26,"Breads, cereals, fastfood, grains"
Okra,1.33 cups,100,32,1,0.01,0,1,7,Vegetables
Olive oil,0.0625 cups,14,125,0,14,3,0,0,"Fats, Oils, Shortenings"
Olives large,10 units,65,72,1,10,9,0.8,3,Fruits
Olives Ripe,10 units,65,105,1,13,12,1,1,Fruits
Onions,1 unit,210,80,2,0.01,0,1.6,18,Vegetables
Orange,0.75 cups,180,60,2,0.01,0.01,1,16,Fruits
Oyster stew,1 cup,85,125,19,6,1,0,0,"Fish, Seafood"
Oysters,7 units,230,231,232,233,234,235,236,"Fish, Seafood"
Pancakes,4 units,108,250,7,9,0,0.1,28,"Breads, cereals, fastfood, grains"
Papaya,0.375 cups,200,75,1,0.01,0,1.8,18,Fruits
Parsley,0.125 cups,50,2,0.01,0.01,0,0.01,0.01,Vegetables
Parsnips,1 cup,155,95,2,1,0,3,22,Vegetables
Peaches,1 cup,257,200,1,0.01,0,1,52,Fruits
Peanut butter,0.33 cups,50,300,12,25,17,0.9,9,Seeds and Nuts
"Peanut butter, natural",0.33 cups,50,284,13,24,10,0.9,8,Seeds and Nuts
Peanuts,0.33 cups,50,290,13,25,16,1.2,9,Seeds and Nuts
Pears,1 cup,255,195,1,0.01,0,2,50,Fruits
Peas,1 cup,100,66,3,0.01,0,0.1,13,Vegetables
Pecans,0.5 cups,52,343,5,35,25,1.1,7,Seeds and Nuts
Peppers canned,0.1 cups,38,10,0.01,0.01,0,0.01,2,Vegetables
"Peppers Raw, green, sweet",1.5 cups,100,25,1,0.01,0,1.4,6,Vegetables
Peppers with beef and crumbs,0.75 cups,150,255,19,9,8,1,24,Vegetables
Persimmons,0.75 cups,125,75,1,0.01,0,2,20,Fruits
Pie,1 unit,135,330,3,13,11,0.1,53,"Desserts, sweets"
Pineapple,1.5 cups,122,95,0.01,0.01,0,0.4,26,Fruits
Pineapple juice,1 cup,250,120,1,0.01,0,0.2,32,Fruits
Pizza,0.1 cups,75,180,8,6,5,0.01,23,"Breads, cereals, fastfood, grains"
Plums,1 cup,256,185,1,0.01,0,0.7,50,Fruits
Popcorn salted,2 cups,28,152,3,7,2,0.5,20,"Breads, cereals, fastfood, grains"
Potato chips,10 units,20,110,1,7,4,0.01,10,Vegetables
Potatoes Mashed with milk and butter,1 cup,200,230,4,12,11,0.7,28,Vegetables
"Potatoes, baked",0.75 cups,100,100,2,0.01,0,0.5,22,Vegetables
"Potatoes, pan-tried",0.75 cups,100,268,4,14,6,0.4,33,Vegetables
Pot-pie,4 cups,227,480,18,28,25,0.01,32,"Meat, Poultry"
Powdered milk,1 cup,103,515,27,28,24,0,39,Dairy products
Processed cheese,0.125 cups,28,105,7,9,8,0,0.01,Dairy products
Prunes,1 cup,270,300,3,1,0,0.8,81,Fruits
Puddings Sugar,1 cup,200,770,0,0,0,0,199,"Desserts, sweets"
Puffed rice,1 cup,14,55,0.01,0.01,0,0.01,12,"Breads, cereals, fastfood, grains"
Puffed wheat presweetened,1 cup,28,105,1,0.01,0,0.6,26,"Breads, cereals, fastfood, grains"
Pumpkin Pie,1 unit,130,265,5,12,11,8,34,"Desserts, sweets"
Radish,5 units,50,10,0.01,0,0,0.3,2,Vegetables
Raisins,0.5 cups,88,230,2,0.01,0,0.7,82,Fruits
Raspberries,0.5 cups,100,100,0.01,0.01,0,2,25,Fruits
Red kidney,1 cup,260,230,15,1,0,2.5,42,Vegetables
Rhubarb sweetened,1 cup,270,385,1,0.01,0,1.9,98,Fruits
Rice,1 cup,208,748,15,3,0,1.2,154,"Breads, cereals, fastfood, grains"
Roast,0.375 cups,85,305,13,14,13,0,0,"Meat, Poultry"
Roast beef,0.375 cups,85,390,16,36,35,0,0,"Meat, Poultry"
Roasted chicken,0.4375 cups,100,290,25,20,16,0,0,"Meat, Poultry"
Root beer,1.5 cups,346,140,0,0,0,0,35,"Drinks, Alcohol, Beverages"
Roquefort cheese,0.125 cups,28,105,6,9,8,0,0.01,Dairy products
Rutabagas,4 cups,100,32,0.01,0,0,1.4,8,Vegetables
Rye,1 unit,23,55,2,1,1,0.1,12,"Breads, cereals, fastfood, grains"
Safflower seed oil,0.0625 cups,14,125,0,14,3,0,0,"Fats, Oils, Shortenings"
Salmon,0.375 cups,85,120,17,5,1,0,0,"Fish, Seafood"
Salt pork,0.25 cups,60,470,3,55,,0,0,"Meat, Poultry"
Sardines,0.375 cups,85,180,22,9,4,0,0,"Fish, Seafood"
Sauerkraut,1 cup,150,32,1,0.01,0,1.2,7,Vegetables
Scalloped with cheese potatoes,0.75 cups,100,145,6,8,7,0.4,14,Vegetables
Scallops,0.4375 cups,100,104,18,8,0,0,10,"Fish, Seafood"
Sesame seeds,0.5 cups,50,280,9,24,13,3.1,10,Seeds and Nuts
Shad,0.375 cups,85,170,20,10,0,0,0,"Fish, Seafood"
"Shoulder, braised",0.375 cups,85,285,18,23,21,0,0,"Meat, Poultry"
Shredded wheat biscuit,1 unit,28,100,3,1,0,0.7,23,"Breads, cereals, fastfood, grains"
Shrimp,0.375 cups,85,110,23,1,0,0,0,"Fish, Seafood"
"skim, instant",1.33 cups,85,290,30,0.01,0.01,0,42,Dairy products
"skim, non-instant",0.67 cups,85,290,30,0.01,0.01,1,42,Dairy products
Soybeans,1 cup,200,260,22,11,0,3.2,20,Vegetables
Spaghetti with meat sauce,1 cup,250,285,13,10,6,0.5,35,"Breads, cereals, fastfood, grains"
Spanish rice,1 cup,250,217,4,4,0,1.2,40,"Breads, cereals, fastfood, grains"
Spinach,1 cup,100,26,3,0.01,0,1,3,Vegetables
Split cooked peas,4 cups,100,115,8,0.01,0,0.4,21,Vegetables
Split-pea soup,1 cup,250,147,8,3,3,0.5,25,Soups
Sponge cake,1 unit,40,115,3,2,2,0,22,"Desserts, sweets"
Squash,1 cup,210,35,1,0.01,0,0.6,8,Vegetables
Steak,0.375 cups,85,330,20,27,25,0,0,"Meat, Poultry"
Steamed cabbage,1 cup,170,40,2,0.01,0,1.3,9,Vegetables
Steamed potatoes before peeling,0.75 cups,100,80,2,0.01,0,0.4,19,Vegetables
Strawberries,1 cup,227,242,1,0.01,0,1.3,60,Fruits
Sunflower seeds,0.5 cups,50,280,12,26,7,1.9,10,Seeds and Nuts
Sweet potatoes,0.75 cups,110,155,2,1,0,1,36,Vegetables
Swiss cheese,0.125 cups,28,105,7,8,7,0,0.01,Dairy products
Swordfish,1 unit,100,180,27,6,0,0,0,"Fish, Seafood"
Tangerines,0.75 cups,114,40,1,0.01,0,1,10,Fruits
Tea,1 cup,230,4,0,0.01,0,0,1,"Drinks, Alcohol, Beverages"
Thousand Island sauce,0.0625 cups,15,75,0.01,8,3,0,1,"Fats, Oils, Shortenings"
Tomato juice,1 cup,240,50,2,0.01,0,0.6,10,Vegetables
Tomato soup,1 cup,245,175,6,7,6,0.5,22,Soups
Tomatoes,1 cup,240,50,2,0.01,0,1,9,Vegetables
Tuna,0.375 cups,85,170,25,7,3,0,0,"Fish, Seafood"
Turkey,0.4375 cups,100,265,27,15,0,0,0,"Meat, Poultry"
Turnip greens,1 cup,145,45,4,1,0,1.8,8,Vegetables
"Turnips, steamed",1 cup,155,40,1,0.01,0,1.8,9,Vegetables
Veal,0.375 cups,85,185,23,9,8,0,0,"Meat, Poultry"
Vegetable,1 cup,250,80,4,2,2,0,14,Soups
Waffles,1 unit,75,240,8,9,1,0.1,30,"Breads, cereals, fastfood, grains"
Walnuts,0.5 cups,50,325,7,32,7,1,8,Seeds and Nuts
"Watercress stems, raw",1 cup,50,9,1,0.01,0,0.3,1,Fruits
Watermelon,1 unit,925,120,2,1,0,3.6,29,Fruits
Wheat (all purpose),1 cup,110,400,12,1,0,0.3,84,"Breads, cereals, fastfood, grains"
Wheat (whole),1 cup,120,390,13,2,0,2.8,79,"Breads, cereals, fastfood, grains"
Wheat germ,1 cup,68,245,17,7,3,2.5,34,"Breads, cereals, fastfood, grains"
Wheat meal cereal unrefined,0.75 cups,30,103,4,1,0,0.7,25,"Breads, cereals, fastfood, grains"
"Wheat, cooked",0.75 cups,200,275,12,1,0,4.4,35,"Breads, cereals, fastfood, grains"
Wheat-germ cereal toasted,1 cup,65,260,20,7,3,2.5,36,"Breads, cereals, fastfood, grains"
Whole-wheat,2 cups,454,1100,48,14,10,67.5,216,"Breads, cereals, fastfood, grains"
Wines,0.5 cups,120,164,0.01,0,0,0,9,"Drinks, Alcohol, Beverages"
Yolks,2 units,34,120,6,10,8,0,0.01,"Fats, Oils, Shortenings"
